,name,M_total_count,M_total_count_likes,recommend_all,MSK,SPB,KRD,KZN,BASHK,NVSB,SAMARA,Vk,Fb,Tw,Yt,Inst
1696,AREZRA,110 051,86,13 865,27123,12384,4414,2132,1720,2673,1674,False,False,False,False,False
1697,RoelBeat,110 427,72,10 163,26929,10250,5220,1996,1625,2519,1462,False,False,False,False,False
1698,Dila Stellar,202 065,7,83,41660,15940,7267,4464,3670,3768,2657,False,False,False,False,False
1699,Soulchef,184 993,140,405,37594,17520,6067,3499,2532,3072,2150,False,False,False,False,False
1700,Евгений Путилов,94 620,173,1 088,18964,6435,4037,1835,1750,2285,1377,False,False,False,False,False
1701,K.Flay,182 658,240,8 347,41159,21011,5152,3231,2322,3510,2279,False,True,True,True,True
1702,Feint,110 957,112,6 837,28858,13731,3126,1743,1304,1945,1437,False,True,True,True,False
1703,MNEK,215 478,9,22 992,74146,30289,11853,6538,4994,5823,4083,False,True,True,True,True
1704,May Wave$,85 207,392,22 097,17607,8560,2546,2068,1575,1474,1314,True,False,True,True,True
1705,Dругой Ветер,49 222,203,3 273,13922,5753,1266,663,599,912,751,True,True,False,True,False
1706,Nat King Cole,174 055,9 292,271 551,57437,21871,6388,2828,0,3041,2111,False,True,False,True,False
1707,PLC,167 312,256,42 171,37450,16845,6396,2931,2332,3391,2130,True,False,True,False,True
1708,Евгений Осин,126 087,972,22 166,35472,11580,5168,1869,1673,2538,1665,False,True,False,False,False
1709,NEFFEX,110 932,816,110 740,25672,11419,3624,2258,1825,2290,1686,False,False,False,False,False
1710,Guib,145 022,44,134,40100,17764,6040,2687,1946,2709,1968,False,False,False,False,False
1711,Сергей Пискун,104 230,7 222,143 727,21287,7098,4884,1824,1774,2721,1494,False,False,False,False,False
1712,WISEKIDS,197 285,15,19,45027,18801,6446,3417,2640,3584,2370,False,False,False,False,False
1713,Morcheeba,101 473,315,34 673,29917,12662,4086,1654,0,2029,1348,False,True,True,True,False
1714,Ислам Мальсуйгенов,154 807,9 393,62 121,28846,9048,8546,2948,2883,3103,2002,False,False,False,False,False
1715,Stick Figure,81 818,9 144,412 286,21952,8456,3806,1244,1159,1535,1036,False,False,False,False,False
1716,Astero,306 601,5,169,66218,24607,12881,5407,4680,6033,3709,False,False,False,False,False
1717,Electric Light Orchestra,97 738,532,59 719,29912,12174,3326,1377,1171,1866,1217,False,True,True,True,True
1718,Dj Viral TikToker,226 465,1 629,1 810,36894,14969,6765,3557,2557,3059,2320,False,False,False,False,False
1719,Chill Out 2019,82 791,12,389,20888,7954,4506,1794,1531,1797,1228,False,False,False,False,False
1720,Ева Польна,88 708,118,81 045,17725,6552,2769,1084,856,1244,866,True,True,True,True,True
1721,Kristina Si,132 571,246,374 325,29863,11514,5317,2799,1886,2102,1808,True,True,True,True,True
1722,In-Grid,130 414,194,4 889,35530,12443,5534,1720,1516,2655,0,False,False,False,True,False
1723,Blackmore's Night,87 472,7 030,287 135,25705,9362,2846,1169,1018,1633,1013,False,True,False,True,True
1724,UNSECRET,111 980,61,645,27487,12402,3407,1632,1260,2391,1410,False,False,False,False,False
1725,"Grover Washington, Jr.",179 565,371,3 935,47035,20133,6053,3026,2097,2905,0,False,False,False,False,False
1726,B3nte,284 216,11,62,66383,25316,11291,5109,4341,5744,3634,False,False,False,False,False
1727,Nazareth,108 603,2 272,120 391,29900,11453,4701,1450,0,1917,1298,False,True,False,True,False
1728,Snøw,269 947,74,1 982,2043,1089,268,260,171,164,132,False,False,False,False,False
1729,Distemper,92 301,2 253,226 359,18272,5695,1184,640,603,562,645,True,True,True,True,True
1730,Phil Collins,127 893,430,39 923,61522,24299,9763,3764,2906,4136,0,False,True,True,True,True
1731,Everlast,128 761,243,12 778,34198,14632,4619,1767,1562,2344,1567,False,True,False,True,False
1732,Lykke Li,282 948,260,42 773,70688,29166,9993,5538,4170,4877,0,False,True,True,True,True
1733,Stephanie Schulte,466 025,34,38,101705,39008,20883,8117,6680,8935,5446,False,False,False,False,False
1734,Grechanik,149 360,63,1 598,33491,13177,5058,3196,2706,3255,2346,True,False,True,True,True
1735,Дмитрий Гревцев,110 420,4 478,141 749,22599,7720,4888,2326,2222,2886,1758,True,False,False,True,True
1736,Katie Melua,192 259,209,14 976,54578,21959,7284,3315,2462,3449,0,False,True,True,True,True
1737,Артур,116 757,5 214,50 590,24552,8529,5426,1476,1435,2411,0,True,True,False,True,False
1738,UPSAHL,172 215,137,1 755,37980,18304,5410,3242,2379,3485,2230,False,True,False,False,True
1739,Jagwar Twin,172 822,108,191,39966,19259,4845,2934,2172,3621,2136,False,False,False,False,False
1740,Andrew Belle,148 364,1 490,72 545,38828,16885,5435,3248,2103,2591,1845,False,False,False,False,False
1741,Jaymes Young,139 508,244,10 027,32707,14951,4908,3135,2111,2525,0,False,True,True,True,True
1742,Gloria Gaynor,183 283,19 212,715 791,48236,18024,7003,2234,1962,3056,0,False,True,True,False,False
1743,Leonard Cohen,72 509,351,26 634,50968,19516,6730,2382,0,3153,0,False,True,False,True,True
1744,Zara Larsson,166 226,159,85 608,37609,14738,5178,3346,2496,2725,0,False,True,True,True,True
1745,Нискуба,131 460,96,1 177,26119,10159,5132,2706,2339,3096,1960,False,False,False,False,False
1746,Maestro Chives,134 579,12,33,29562,13349,3907,2163,1501,2622,1625,False,False,False,False,False
1747,Melody Gardot,127 273,2 339,77 248,39935,15875,5313,1959,0,2325,0,False,True,True,True,True
1748,Tim Schaufert,196 042,74,737,54384,21836,9192,4305,3222,4148,3072,False,False,False,False,False
1749,Обстоятельства,54 916,145,3 508,13871,7335,1791,1139,789,1259,764,True,False,False,True,True
1750,KOSIKK,97 028,150,3 845,25637,10573,4527,1875,1489,2058,1396,False,False,False,False,False
1751,JuMa44,212 150,9 706,10 170,38404,17125,6749,3814,2742,3261,2297,False,False,False,False,False
1752,Hafex,269 410,640,8 205,52920,19167,13706,5048,4407,4813,0,True,False,False,False,False
1753,Jeremy Camp,86 076,138,1 830,22832,9309,3052,1645,1145,1664,1118,False,True,True,True,True
1754,Arsenium,95 508,7,663,20881,7233,3376,1775,1375,1611,1121,True,True,False,True,True
1755,Courtney Drummey,277 274,5,23,61835,23836,12851,5334,4311,5606,3529,False,False,False,False,False
1756,WOODJU,107 242,206,10 630,23745,11765,3746,2122,1616,1933,1383,True,True,False,True,True
1757,Bakr,160 824,268,448,26453,10447,4814,3043,2227,2274,1836,False,False,False,False,False
1758,Grailz Beni,126 099,47,68,25728,13190,3601,2803,1956,2237,1687,False,False,False,False,False
1759,Fletcher,164 307,47,1 521,1000,525,140,82,55,83,0,False,False,False,False,False
1760,Seal,114 346,149,13 375,31408,12001,4583,1690,0,1791,0,False,True,True,True,True
1761,STRANIZA,145 738,14,2 258,29339,11988,5872,2929,2160,2675,1835,True,True,False,False,True
1762,SODA LUV,322 772,18 093,40 915,55756,24350,8952,7620,6155,4811,5347,True,False,True,False,True
1763,Echo,369 437,45,27 388,83753,31788,15412,5746,4798,6761,4026,False,False,False,False,False
1764,Rave & Crave,205 699,7,404,44334,16682,8992,3617,3051,4182,2400,False,False,False,False,False
1765,Disclosure,117 687,100,13 022,30295,13490,4104,2204,1498,1890,1331,False,True,True,True,True
1766,DASHXX,200 262,93,736,9320,3589,1434,1024,659,613,0,True,False,False,True,False
